timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329563.6027403,32.208,16.506,0.015,65.635,15.24,0,0.000
1773329563.669598,32.025,14.270,0.010,65.963,15.16,0,0.000
1773329563.736064,33.214,16.110,0.011,65.446,15.28,0,0.000
1773329563.8068745,31.964,14.346,0.011,69.713,14.34,0,0.000
1773329563.870139,27.721,15.399,0.014,61.964,16.14,0,0.000
1773329563.936176,31.130,14.308,0.013,65.088,15.36,0,0.000
1773329564.0026658,32.872,14.400,0.009,65.471,15.27,0,0.000
1773329564.0692658,31.817,14.629,0.012,65.435,15.28,0,0.000
1773329564.1364508,32.067,14.323,0.011,66.149,15.12,0,0.000
1773329564.2030418,32.111,14.954,0.013,65.581,15.25,0,0.000
1773329564.27008,31.925,15.438,0.016,66.054,15.14,0,0.000
1773329564.3368595,31.452,15.558,0.014,65.833,15.19,0,0.000
1773329564.4028933,34.600,15.764,0.013,65.036,15.38,0,0.000
1773329564.4695156,31.932,14.692,0.014,65.813,15.19,0,0.000
1773329564.5364556,32.035,14.981,0.015,65.988,15.15,0,0.000
1773329564.6040683,31.497,15.066,0.016,66.566,15.02,0,0.000
1773329564.6692646,30.692,14.908,0.015,64.134,15.59,0,0.000
1773329564.736131,32.173,14.799,0.016,66.060,15.14,0,0.000
1773329564.8029404,32.462,14.876,0.015,65.794,15.20,0,0.000
1773329564.8712666,31.439,14.807,0.013,67.010,14.92,0,0.000
1773329564.9360917,30.308,15.582,0.014,63.841,15.66,0,0.000
1773329565.002768,32.212,15.304,0.012,65.841,15.19,0,0.000
1773329565.0699413,32.280,15.449,0.014,66.195,15.11,0,0.000
1773329565.135946,32.103,14.865,0.015,64.819,15.43,0,0.000
1773329565.203598,31.997,14.575,0.013,66.557,15.02,0,0.000
1773329565.2690804,30.935,15.427,0.015,64.525,15.50,0,0.000
1773329565.3358328,34.068,14.900,0.014,65.806,15.20,0,0.000
1773329565.4025218,32.274,14.617,0.010,65.631,15.24,0,0.000
1773329565.4691277,32.557,14.817,0.015,65.632,15.24,0,0.000
1773329565.5358791,32.175,15.193,0.012,65.929,15.17,0,0.000
1773329565.6025922,32.187,15.038,0.016,65.705,15.22,0,0.000
1773329565.6706421,32.180,15.011,0.016,67.191,14.88,0,0.000
1773329565.7358732,30.586,14.900,0.015,64.191,15.58,0,0.000
1773329565.8023794,31.788,14.811,0.016,65.584,15.25,0,0.000
1773329565.8698862,31.288,14.762,0.015,65.718,15.22,0,0.000
1773329565.9355633,30.151,15.224,0.014,63.902,15.65,0,0.000
1773329566.0028956,32.391,15.964,0.016,66.343,15.07,0,0.000
1773329566.0688736,31.368,14.716,0.013,65.155,15.35,0,0.000
1773329566.1354702,32.262,14.765,0.013,65.620,15.24,0,0.000
1773329566.2021685,34.585,14.759,0.012,65.881,15.18,0,0.000
1773329566.2688751,32.206,15.131,0.015,65.703,15.22,0,0.000
1773329566.3353784,33.210,14.864,0.016,65.653,15.23,0,0.000
1773329566.4020615,31.753,14.679,0.013,65.453,15.28,0,0.000
1773329566.4689415,31.965,15.535,0.015,66.007,15.15,0,0.000
1773329566.5354497,31.870,14.854,0.016,65.491,15.27,0,0.000
1773329566.6018448,33.089,16.319,0.020,65.386,15.29,0,0.000
1773329566.6689398,32.219,14.748,0.016,65.924,15.17,0,0.000
1773329566.735504,31.515,14.724,0.015,65.671,15.23,0,0.000
1773329566.801755,31.579,14.830,0.016,65.001,15.38,0,0.000
1773329566.868933,32.137,15.215,0.016,66.359,15.07,0,0.000
1773329566.935058,31.803,15.788,0.015,65.073,15.37,0,0.000
1773329567.0018547,32.778,15.320,0.013,65.932,15.17,0,0.000
1773329567.0682156,32.789,16.188,0.014,65.312,15.31,0,0.000
1773329567.1355903,32.188,14.778,0.015,66.569,15.02,0,0.000
1773329567.201619,32.168,15.429,0.014,65.026,15.38,0,0.000
1773329567.2682967,33.547,17.182,0.017,65.762,15.21,0,0.000
